検査項目,UID,H28対応項目,チームからの修正提案(20220317),チームからのコメント(20220317),医学教育課修正案(20220327),医学教育課からのコメント(20220327),Unnamed: 7,検査項目(20220302査読直前),修正提案(20220302),査読コメント(20220302),チームからの返信（原案どおりなら１、修正案に賛成なら２）,チームからのコメント（あれば）,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,項目,診療科,メモ,H28の記載,臓器,分類,項目名,H28表記,"錦織返答(1.反映する,2.反映しない,その他)(20220320)",錦織コメント(20220320),医学教育課修正案(20220317),医学教育課からのコメント(20220317),項目名(20220302査読直前),削除項目,追加項目,査読への返答,A,B,C,D,E,F,G,H,I,カテゴリ,サブカテゴリ,疾患,修正案(20220318),コメント(20220318),重要度分類(スリム化チーム作業用)(20220330),重要(20220318),診断,治療,教育,予防,作成時(20220316コメント),修正案(20220316),パフォーマンス,診察項目,基本的臨床手技,目標レベル,主要症候,検討すべき鑑別疾患,錦織,Unnamed: 3,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
血算,JkxirwY,F-02-03-na-08,,,,,説明→理解,血算、凝固・線溶検査、尿・糞便検査、生化学検査,血算,,2.0,,,技能で審議しこのままとしました,61列に項目を記載すればここで個別は不要,61-63が「臨床検査」となっているのに、ここで具体的な血液検査の項目が出てくると、レイヤーの異なりが目立つ,,,他所で行うので削除で良いのでは？,,,,,[別表]主要な臨床・画像検査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
生化学検査,Jli6WW4,F-02-03-na-08,,,,,,,生化学検査,,2.0,,,,,,,,,,,,,[別表]主要な臨床・画像検査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
凝固・線溶検査,Jli6WW8,F-02-03-na-08,,,,,,,凝固・線溶検査,,2.0,,,,,,,,,,,,,[別表]主要な臨床・画像検査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
免疫血清学検査,Jli6WXE,F-02-03-na-11,,,,,,,免疫血清学検査,,2.0,,,,,,,,,,,,,[別表]主要な臨床・画像検査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
尿検査,Jli6WXI,F-02-03-na-08,,,,,,,尿検査,,2.0,,,,,,,,,,,,,[別表]主要な臨床・画像検査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
便検査,Jli6WXQ,F-02-03-na-08,,,,,,,便検査,,2.0,,,,,,,,,,,,,[別表]主要な臨床・画像検査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jkxirwc,F-02-03-na-11,,,,,説明→理解,免疫血清学検査、輸血検査,削除,,2.0,,計画と解釈両方を含んでいる(近藤),技能で審議しこのままとしました,61列に項目を記載すればここで個別は不要,,,,統合というより知識。他所へ統合∴ここでは削除で良いのでは？,,,,,[別表]主要な臨床・画像検査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
血液型（ABO、RhD）検査、血液交差適合（クロスマッチ）試験、不規則抗体検査,Jkxir08,F-02-13-na-02,,,,,動詞を変更,血液型（ABO、RhD）検査、血液交差適合（クロスマッチ）試験、不規則抗体検査,血液型（ABO、RhD）検査、血液交差適合（クロスマッチ）試験、不規則抗体検査,,2.0,,,技能で審議しこのままとしました,,,実習で行っており、学生の医行為にも入っているので、「実施できる」でよいのでは。,,,,,,,[別表]主要な臨床・画像検査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
動脈血ガス分析,JkxirxY,F-02-03-na-14,,,,,説明→理解,動脈血ガス分析,動脈血ガス分析,,2.0,,経皮的酸素飽和度モニターについては身体所見に移動を(近藤),技能で審議しこのままとしました,,,,,統合というより知識。他所へ統合∴ここでは削除で良いのでは？で良いのでは？,,,,,[別表]主要な臨床・画像検査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
妊娠反応検査,Jkxiryk,G-03-02-na-04,,,,,後半の動詞を変更,妊娠反応検査,妊娠反応検査,,2.0,,治療計画から移動(近藤)(2022/2/14),技能で審議しこのままとしました,・・説明でき、実演できる,,,,,,,,,[別表]主要な臨床・画像検査,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
