第2層,第3層,第4層,UID,H28対応項目,H28表記,「概要を理解している」で良い場合には●(20220410),第4層(202004113)作業用,第4層(20220413),"座長・副座長返答(1.医学教育課の意見を反映,2.原案ママ,3.その他)(20220411)",座長・副座長コメント(20220411),医学教育課修正案(20220327),医学教育課からのコメント(20220327),チームからの修正提案(20220317),チームからのコメント(20220317),第4層(技術参与清書),第4層(20220302査読直前),修正提案(20220302),査読コメント(20220302),"チームからの返信
（原案どおりなら１、修正案に賛成なら２）",チームからのコメント（あれば）,第4層(計算列),メモ,Unnamed: 23,査読への返答,A,B,C,D,E,F,G,H,I,全体編集メモ
患者に接する言葉遣い・態度・身だしなみ・配慮,患者・家族への適切なコミュニケーションスキルの活用,言語的コミュニケーション技能を発揮して、良好な人間関係を築くことができる。,Jli9Pdc,,,,言語的コミュニケーション技能を発揮して、良好な人間関係を築くことができる。,言語的コミュニケーション技能を発揮して、良好な人間関係を築くことができる。,,,,,,,,,言語的コミュニケーション技能を発揮して、良好な人間関係を築くことができる。,,2.0,,言語的コミュニケーション技能を発揮して、良好な人間関係を築くことができる。,,,{not found: Jli9Pdc},,,,,,,,,,
患者に接する言葉遣い・態度・身だしなみ・配慮,患者・家族への適切なコミュニケーションスキルの活用,非言語的コミュニケーション（身だしなみ、視線、表情、ジェスチャー等）を意識できる。,Jli9Pdk,,,,非言語的コミュニケーション（身だしなみ、視線、表情、ジェスチャー等）を意識できる。,非言語的コミュニケーション（身だしなみ、視線、表情、ジェスチャーなど）を意識できる。,1.0,,非言語的コミュニケーション（身だしなみ、視線、表情、ジェスチャー等）を意識できる。,「など」を「等」に修正しています。,,,,,非言語的コミュニケーション（身だしなみ、視線、表情、ジェスチャーなど）を意識できる。,,2.0,,非言語的コミュニケーション（身だしなみ、視線、表情、ジェスチャーなど）を意識できる。,,,{not found: Jli9Pdk},,,,,,,,,,【宮地】非言語と言語的コミュニケーションをわけてそれぞれ人間関係の構築に活用することは実際にあまりないと思うので、8と一緒にしてもよいのでは？
患者に接する言葉遣い・態度・身だしなみ・配慮,患者・家族への適切なコミュニケーションスキルの活用,患者や家族に敬意を持った言葉遣いや態度で接することができる。,JkxhhVw,A-04-01-na-02,コミュニケーションを通じて良好な人間関係を築くことができる。,,患者や家族に敬意を持った言葉遣いや態度で接することができる。,患者や家族に敬意を持った言葉遣いや態度で接することができる。,,,,,,,患者・家族に敬意を持った言葉遣いや態度で接することができる。,患者・家族に敬意を持った言葉遣いや態度で接することができる,患者や家族に敬意を持った言葉遣いや態度で接することができる。,ママ,2.0,,患者や家族に敬意を持った言葉遣いや態度で接することができる。,,,査読者Cの指摘通り、態度も必要と考え、記載追加しています。,あえてコアカリの1コンピテンシーに入れる必要はないのでは。,,ここで家族に対する言葉遣いを求めるなら、3.4でも「患者と家族」にすべきでは。言葉遣いだけではなく非言語も必要では？「〜に敬意を持った言葉遣いや態度で接することができる」,,同上,,,,,
患者に接する言葉遣い・態度・身だしなみ・配慮,患者・家族への適切なコミュニケーションスキルの活用,対人関係に関わる心理的要因（陽性感情・陰性感情等）を認識しながらコミュニケーションをとることができる。,JkxhhVs,C-05-07-na-01,対人関係にかかわる心理的要因を概説できる。,,対人関係に関わる心理的要因（陽性感情・陰性感情等）を認識しながらコミュニケーションをとることができる。,対人関係に関わる心理的要因（陽性感情・陰性感情等）を認識しながらコミュニケーションをとることができる。,,,,,,,心理学の知識を用い、医療における対人関係に関わる心理的要因（陽性感情・陰性感情等）を理解し活用できる。,対人関係にかかわる心理的要因を理解し活用できる。心理学の知識を用い、医療における対人関係に関わる心理的要因（陽性感情・陰性感情など）を理解し活用できる,対人関係に関わる心理的要因（陽性感情・陰性感情等）を認識しながらコミュニケーションをとることができる。,「要因を活用できる」は日本語としておかしい。,2.0,,対人関係に関わる心理的要因（陽性感情・陰性感情等）を認識しながらコミュニケーションをとることができる。,C-05-07-00-01,,心理的要因の記述がなく、わかりにくいので査読者Cのコメントに基づき記載変更しました。,"心理的要因とは何か。
3つ上でいいのではないか",,曖昧で、カリキュラムに反映させにくい。一般的な対人関係なのか、医療における対人関係なのかを特定し、また心理的要因を活用するとはどのようなことかを具体的に記載するほうがよい。心理学との絡みも入れて、「心理学の知識を用い、医療における対人関係に関わる心理的要因（陽性感情・陰性感情など）を理解し活用できる」,,同上,,,,,
患者に接する言葉遣い・態度・身だしなみ・配慮,患者・家族への適切なコミュニケーションスキルの活用,相手の話を聞き、事実や自分の意見を相手にわかるように述べることができる,JkxhhVo,C-05-07-na-06,話し手と聞き手の役割を説明でき、適切なコミュニケーションスキルが使える。,,相手の話を聞き、事実や自分の意見を相手にわかるように述べることができる,相手の話を聞き、事実や自分の意見を相手にわかるように述べることができる,,,,,,,話し手と聞き手の役割を理解（説明）でき、適切なコミュニケーションスキルが使える。,話し手と聞き手の役割を理解（説明）でき、適切なコミュニケーションスキルが使える。,相手の話を丁寧に聞いた上で、それに対して事実や自分の意見を相手にわかるように述べることができる,"査読者Aの意見
これを一番最初に持ってくるか？",,相手の話を聞き、事実や自分の意見を相手にわかるように述べることができる,,C-05-07-00-06,8行を削除し､9列とまとめた,8とまとめて残りました。,これは改めて必要か？,8にまとめる,8にまとめてよいのでは？,,同上,,,,,
患者に接する言葉遣い・態度・身だしなみ・配慮,患者の立場の尊重と苦痛への配慮,患者や家族の精神的・身体的・社会的苦痛に十分配慮できる。,JkxhhV4,A-04-02-na-01,患者と家族の精神的・身体的苦痛に十分配慮できる。,,患者や家族の精神的・身体的・社会的苦痛に十分配慮できる。,患者や家族の精神的・身体的・社会的苦痛に十分配慮できる。,,,,,,,患者と家族の精神的・身体的・社会的苦痛に十分配慮できる。,患者と家族の精神的・身体的・社会的苦痛に十分配慮できる。,患者や家族の精神的・身体的・社会的苦痛に十分配慮できる。,ママ,2.0,,患者や家族の精神的・身体的・社会的苦痛に十分配慮できる。,A-04-02-00-01,,査読者Cの指摘通り、社会的苦痛への配慮も必要と考え、記載追加しました,上の段と合同してひとつにしてはどうか,,社会的苦痛も入れたほうがよいのでは？16とあわせて「患者と家族が経験しうる、（その診療科特有のものも含めた）身体的・精神的・社会的苦痛に十分配慮できる」,,同上,,,,,
患者に接する言葉遣い・態度・身だしなみ・配慮,患者の立場の尊重と苦痛への配慮,患者や家族の話を傾聴し、怒りや悲しみ、不安などの感情を理解し、共感できる。,JkxhhWA,A-04-01-na-03,患者・家族の話を傾聴し、共感することができる。,,患者や家族の話を傾聴し、怒りや悲しみ、不安などの感情を理解し、共感できる。,患者や家族の話を傾聴し、怒りや悲しみ、不安などの感情を理解し、共感することができる。,1.0,,患者や家族の話を傾聴し、怒りや悲しみ、不安などの感情を理解し、共感できる。,「など」→「等」に修正しました。「。」を追記しました。「することが」を削除しました。,,,患者・家族の話を傾聴し、共感することができる。,患者・家族の話を傾聴し、共感することができる。,患者や家族の話を傾聴し、怒りや悲しみ、不安などの感情を理解し、共感することができる,何に共感するのかが不明。査読者Cの意見を反映,2.0,,患者や家族の話を傾聴し、怒りや悲しみ、不安などの感情を理解し、共感することができる,A-04-01-00-03（重複確認(技術参与)）,,（C-29とは内容が異なるので、それぞれこのまま残すことにします）,,,30とまとめて「患者・家族の話を傾聴し、怒りや悲しみ、不安などの感情を理解し、共感することができる」,,漠とした問。他の項目でカバーできれば削除で良いのでは？,,,,,
患者の意思決定の支援とそのための情報収集・わかりやすい説明,患者へのわかりやすい言葉の説明,患者や家族の多様性（高齢者、小児、障害者、LGBTQ、国籍、人種、文化・言語・慣習の違い等）に配慮してコミュニケーションをとることができる。,JkxhhWI,A-04-02-na-02,患者に分かりやすい言葉で説明できる。,,患者や家族の多様性（高齢者、小児、障害者、LGBTQ、国籍、人種、文化・言語・慣習の違い等）に配慮してコミュニケーションをとることができる。,患者や家族の多様性（高齢者、小児、障害者、LGBTQ、国籍、人種、文化・言語・慣習の違い等）に配慮してコミュニケーションをとることができる。,,,,,,,患者の多様性（高齢者、小児、障害者、LGBTQ、文化・言語・慣習の違い等）に配慮し分かりやすい言葉で説明できる。,患者の多様性に配慮し分かりやすい言葉で説明できる。(例：高齢者、小児、障害者、LGBTQ?（確認中）、文化・言語・慣習の違い）,患者や家族の多様性（高齢者、小児、障害者、LGBTQ、国籍、人種、文化・言語・慣習の違い等）に配慮してコミュニケーションをとることができる。,"査読者A, Cの意見を反映",2.0,国籍、人種については文化・言語・習慣の違いに包括されるのではというディスカッションがありました。,患者や家族の多様性（高齢者、小児、障害者、LGBTQ、国籍、人種、文化・言語・慣習の違い等）に配慮してコミュニケーションをとることができる。,A-04-02-00-02 LGBTQの用語を入れる予定,具体的な例がないとわかりにくいのでは？あえて残す、障害者の記載（障がい者など）に注意（他チーム査読）：あとで全体で確認を求める,例示は必要ないとのご指摘をいただきましたが、大学関係者が読んだ際にどのような対象について学ばせるか例示があったほうが教育計画を組みやすいのではないかと考え、残しました。,"そもそも、第２層と同じことが書かれており、意味がないのでは。
細かく、高齢者、小児、障害者、LGBTQなど指定する必要がない
言葉に限らないので第２層「患者に接する言葉遣い・態度・身だしなみ・配慮」へ移動するのがよい",,必要なのは言語的だけではないように思うので、「患者の多様性に配慮した言語、言葉使い、視線・表情・ジェスチャーなどを用いて説明できる」,,,,人種？国籍？も追加が必要ではないでしょうか。,,,
患者の意思決定の支援とそのための情報収集・わかりやすい説明,患者へのわかりやすい言葉の説明,患者が理解できるよう、極力専門用語を使わずに、わかりやすく説明できる。,JkxhhWM,E-06-03-na-02,患者の漠然とした不安を受け止め、不安を軽減するためにわかりやすい言葉で説明でき、対話ができる。,,患者が理解できるよう、極力専門用語を使わずに、わかりやすく説明できる。,患者の不安を軽減するためにわかりやすい言葉で説明や対話ができる。,1.0,,患者が理解できるよう、極力専門用語を使わずに、わかりやすく説明できる。,「できるだけ」→「極力」に修正しました。語尾を修正しました。,,,患者の不安を軽減するためにわかりやすい言葉で説明や対話ができる。,患者の漠然とした不安を受け止め、不安を軽減するためにわかりやすい言葉で説明でき、や対話ができる。,患者や家族のヘルスリテラシーに合わせてわかりやすい言葉で対話をすることができる。,"目的は不要なので削除
インフォームドコンセントが23にあるので「説明」は削除",1.0,ヘルスリテラシーと入れる必要がないのではないでしょうか？,患者の漠然とした不安を受け止め、不安を軽減するためにわかりやすい言葉で説明でき、や対話ができる。,E-06-03-00-02,,漠然とした不安という文言を削除しました,"この第４層が患者への分かりやすい言葉の説明の下位項目になっているかどうか？
専門用語を使わないとか、のほうが普通ではないでしょうか？",,漠然としていない不安も受けとめる対象である必要がある。「患者の不安を軽減するために、わかりやすい言葉で説明や対話ができる」,,,漠然とした云々を削除,,,,【宮地】18にまとめて「患者や家族の多様性（年齢、ヘルスリテラシー、自己決定能力、障害者...)（以下変更なし）」にする、という代案も思いつきます（長くなりますが、ヘルスリテラシーだけ19に別立てする必要があるか？）
患者の意思決定の支援とそのための情報収集・わかりやすい説明,患者への行動変容の促し,患者や家族と情報共有や意見の摺り合わせを行い、理解と同意を踏まえた意思決定を支援できる。,JkxhhWQ,C-05-08-na-01,健康行動や行動変容を行う動機付けを概説できる。,,患者や家族と情報共有や意見の摺り合わせを行い、理解と同意を踏まえた意思決定を支援できる。,,1.0,,患者や家族と情報共有や意見の摺り合わせを行い、理解と同意を踏まえた意思決定を支援できる。,語尾を修正しました。また、「意見の摺り合わせ」は「意見交換」もしくは「対話」にするのはどうでしょうか。,,,,削除：健康行動や行動変容を行う動機付けを理解し活用できる。,,,,,,"C-05-08-00-01 行動科学と重複かも,総合に委託を検討",,行動科学(総合チーム)で対応いただくのがよいと考え、この項目を削除します。,"行動変容については、行動科学に移してはどうか
ここにはコミュニケーションについて書きたいが、そもそも第３層は必要ないのでは",,総合27と重複,,,,,,行動科学と重複に留意。,
