第2層,第3層,第4層,UID,H28対応項目,メモ,査読への返答,A,B,C,D,E,F,G,H,I
患者の情報収集,医療面接,削除:適切な身だしなみ、言葉遣い及び態度で患者に接することができる。,JkxirsY,"F-03-02-na-01,G-04-04-na-02",,対応しました,他領域,コミュと重なる,"コミュ3,4と重複",,重複∴削除,,,,
患者の情報収集,医療面接,医療面接における基本的コミュニケーション技法を用いることができる。,Jkxirsc,F-03-02-na-02,コミュではなく技能で扱う(2022/2/7)(近藤),技能(技能+コミュ)で審議し技能で扱うこととしました,コミュニケーション領域へ,コミュと重なる,コミュ7と重複。基本的コミュニケーションスキルとは具体的に何か記載がないと、カリキュラム立案に反映しにくい。入れるとしても「医療面接において」では。,,問が漠然としているので削除で良いのでは？,,,,
患者の情報収集,医療面接,病歴（主訴、現病歴、常用薬、アレルギー歴、既往歴、家族歴、嗜好、生活習慣、社会歴・職業歴、生活環境、家庭環境、海外渡航歴、システムレビュー）を聴き取り、情報を取捨選択し整理できる。,Jkxirsg,F-03-02-na-03,,技能(技能+コミュ)で審議しこのままとしました,,,網羅的に聞き取った上で取捨選択するのではなく、鑑別疾患を考えながら必要な情報を聴取していくアプローチを学ぶ必要があることを表現できたらと思うので、「主訴に対する鑑別疾患を想起しながら、その吟味に必要な病歴（....）を聴取できる」,,,"臨床推論の最重要項目であり医師の能力が大きく作用する現病歴について、ある程度アンケートでも記載できる常用薬、アレルギー歴、既往歴、家族歴、嗜好、生活習慣、社会歴・職業歴、生活環境、家庭環境、海外渡航歴、と同列に扱われてきているのが気になっておりました。OSCEでも、十分に現病歴をとらずに家族歴、既往歴に進んでしまう残念な学生がいるので重点的に指導しておりますが、学ぶ方も教える方も意識改革が必要そうです。診療参加の本幹である、日々の診療・カルテ記載の基本にもなりますので、別枠の方が良いのではと思いました。
『主訴を正確に把握して鑑別診断を想起し、詳細に現病歴（発症様式、経過と場 所、質、放散痛、程度、軽快因子、増悪因子、随伴症状など）を聴取することができる。』など。一意見でした。",,,
患者の情報収集,医療面接,削除:患者の立場を尊重し、信頼を得ることができる。,Jkxirsk,F-03-05-01-01,,対応しました,,コミュ13と重なる,,,問が漠然としているので削除、またはコミュに統合で良いのでは？,,,,
患者の情報収集,医療面接,患者に関わる人たちから必要な情報を得ることが参加できる。,Jkxirso,"F-03-05-08-04,G-04-01-03-04",コミュではなく技能で扱う、保護者→患者に関わる人たち(さらに良い言葉があれば変更)(2022/2/7)(近藤),対応しました,,高齢者の場合も「保護者」なのか？,コミュ26と重複。小児の項目なのでしょうが、成人でも認知症の方の家族や知人・行政関係者などの代理人（代理意思決定者を含む）から情報を得る場面はあるので、一般化して「必要に応じて家族や家族以外の代理人から患者に関する情報を得たり対応したりすることに、指導医とともに参加できる」,,保護者→保護者や第三者で良いのでは？,,可能な範囲でという言葉がやや抽象的か。,,
患者の情報収集,身体所見,患者の状態から診察が可能かどうかを判断し、状態に応じた診察ができる。,Jkxirss,F-03-05-01-06,,技能で審議しこのままとしました,,,学生の独断では難しいと思うので、「〜を判断し、指導医と相談した上で状態に応じた診察ができる」ではどうでしょうか,,ができる→の重要性を理解できる（実施は学生レベルを超えることが多い）,,,「患者の状態に応じた診療ができる」だけではだめでしょうか,
患者の情報収集,身体所見,削除:身長・体重を測定し、body mass index <BMI>の算出、栄養状態を評価できる。,Jkxirsw,F-03-05-02-01,,対応しました,この項目が独立して必要でしょうか,,総合77と重複。,,単独項目にするほどではない→他所へ統合または割愛で良いのでは？,,,,
患者の情報収集,身体所見,全身の外観（体型、栄養、姿勢、歩行、顔貌、皮膚、発声）を評価できる。,Jkxirs8,F-03-05-02-07,バイタルより上に移動(2022/2/7)(近藤),技能で審議しこのままとしました,,,,,,の診察を行い、主な異常の有無を指摘できる。,,,
患者の情報収集,身体所見,バイタルサイン(体温、呼吸数、酸素飽和度、脈拍、血圧)の測定ができる,Jkxirs0,"F-02-09-02-02,F-03-05-02-05,F-03-05-02-04,F-03-05-02-02,F-03-05-02-06,F-03-06-02-05",(腋窩)(橈骨)(上肢・下肢)を削除(2022/2/7)(近藤),対応しました,（）のなかの（）という記載を修正可能なら,,,,,卒業時ですので、・・・測定ができ、おもな異常所見を指摘できる。　ごよいのでは、,,,医師国家試験等の記載順に合わせ、体温、脈拍、血圧、呼吸数、酸素飽和度の順に記載するのはいかがでしょうか。
患者の情報収集,身体所見,適切な体位（立位、座位、半座位、臥位、砕石位）で診察できる。,Jkxirs4,F-03-02-na-04,,対応しました,説明できるではなく、対位をとらせることができる,説明できる→患者にとってもらうことができる,,,,を説明し、実施できる。？,,実施でいいと思います,
患者の情報収集,身体所見,頭部（顔貌、頭髪、頭皮、頭蓋）の診察ができる。,JkxirtA,F-03-05-03-01,,技能で審議しこのままとしました,,,,,,の診察を行い、主な異常の有無を指摘できる。,,,
患者の情報収集,身体所見,眼（視野、瞳孔、対光反射、眼球運動・突出、結膜）の診察ができる。,JkxirtE,F-03-05-03-02,,技能で審議しこのままとしました,,,,,,の診察を行い、主な異常の有無を指摘できる。,,,
患者の情報収集,身体所見,耳（耳介、聴力）の診察ができる。,JkxirtI,F-03-05-03-03,,技能で審議しこのままとしました,,,,,,の診察を行い、主な異常の有無を指摘できる。,,,
患者の情報収集,身体所見,耳鏡で外耳道、鼓膜を観察できる。,JkxirtM,F-03-05-03-04,,,,,,,,,,,
患者の情報収集,身体所見,口唇、口腔、咽頭、扁桃の診察ができる。,JkxirtQ,F-03-05-03-06,,技能で審議しこのままとしました,,,,,,の診察を行い、主な異常の有無を指摘できる。,,,
患者の情報収集,身体所見,副鼻腔の診察ができる。,JkxirtU,F-03-05-03-07,,,,,,,,,,,
患者の情報収集,身体所見,鼻鏡を用いて前鼻腔を観察できる。,JkxirtY,F-03-05-03-08,,,,,,,,,,,
患者の情報収集,身体所見,甲状腺、頸部血管、気管、唾液腺の診察ができる。,Jkxirtc,F-03-05-03-09,,技能で審議しこのままとしました,,,,,,の診察を行い、主な異常の有無を指摘できる。,,,
