臓器,分類,項目名,H28対応項目,削除項目,追加項目,メモ,Unnamed: 7
血液・造血器・リンパ系,構造と機能,骨髄の構造,D-01-01-na-01,,,,
血液・造血器・リンパ系,構造と機能,造血幹細胞から各血球への分化と成熟の過程,D-01-01-na-02,,,,
血液・造血器・リンパ系,構造と機能,主な造血因子（エリスロポエチン、顆粒球コロニー刺激因子<G-CSF>、トロンボポエチン）,D-01-01-na-03,,,,
血液・造血器・リンパ系,構造と機能,脾臓、胸腺、リンパ節、扁桃とPeyer 板の構造と機能,D-01-01-na-04,,,,
血液・造血器・リンパ系,構造と機能,血漿タンパク質の種類と機能,D-01-01-na-05,,,,
血液・造血器・リンパ系,構造と機能,赤血球とヘモグロビンの構造と機能,D-01-01-na-06,,,,
血液・造血器・リンパ系,構造と機能,白血球の種類と機能,D-01-01-na-07,,,,
血液・造血器・リンパ系,構造と機能,血小板の機能と止血や凝固・線溶の機序,D-01-01-na-08,,,,
血液・造血器・リンパ系,症候,発熱,"D-01-03-na-01,D-01-03-na-02, D-01-03-na-03, D-01-03-na-04, D-01-03-na-05, D-01-03-na-06,","D-01-03-na-04, D-01-03-na-05, D-01-03-na-07",,,
血液・造血器・リンパ系,症候,全身倦怠感,"D-01-03-na-01,D-01-03-na-02, D-01-03-na-03, D-01-03-na-04, D-01-03-na-05, D-01-03-na-06,","D-01-03-na-04, D-01-03-na-05, D-01-03-na-07",,,
血液・造血器・リンパ系,症候,黄疸,"D-01-03-na-01,D-01-03-na-02, D-01-03-na-03, D-01-03-na-04, D-01-03-na-05, D-01-03-na-06,","D-01-03-na-04, D-01-03-na-05, D-01-03-na-07",,,
血液・造血器・リンパ系,症候,リンパ節腫脹,"D-01-03-na-01,D-01-03-na-02, D-01-03-na-03, D-01-03-na-04, D-01-03-na-05, D-01-03-na-06,","D-01-03-na-04, D-01-03-na-05, D-01-03-na-07",,,
血液・造血器・リンパ系,症候,貧血,"D-01-03-na-04, D-01-03-na-05,",,血栓傾向,,
血液・造血器・リンパ系,症候,出血傾向,"D-01-03-na-04, D-01-03-na-05,",,血栓傾向,,
血液・造血器・リンパ系,症候,血栓傾向,"D-01-03-na-04, D-01-03-na-05,",,血栓傾向,,
血液・造血器・リンパ系,検査方法,末梢血塗抹,D-01-02-na-01,末梢血の血球数の基準値とその変化の意義,末梢血塗抹,シンプルな表現に（国試ガイドp8に従う）,
血液・造血器・リンパ系,検査方法,凝固・線溶・血小板機能検査,なし,,,新規,
血液・造血器・リンパ系,検査方法,骨髄検査（骨髄穿刺、骨髄生検）,D-01-02-na-02,,,,
血液・造血器・リンパ系,検査方法,輸血関連検査,なし,,,新規,
血液・造血器・リンパ系,検査方法,タンパク分画、免疫電気泳動,D-01-02-na-02,,免疫電気泳動,血清・尿があるので検体名は削除した,
血液・造血器・リンパ系,検査方法,遺伝子・染色体検査,なし,,,新規,
血液・造血器・リンパ系,特異的治療法,輸血,なし,,,新規,
血液・造血器・リンパ系,特異的治療法,造血幹細胞移植,なし,,,新規,
