第2層,第3層,第4層,UID,H28対応項目,メモ
リサーチマインド,能動的姿勢 ,常識を疑う姿勢を持つ,JkxpmiQ,,新設
リサーチマインド,能動的姿勢,何事にも知的好奇心を持って取り組む,JkxpmiU,,新設
リサーチマインド,探究心,最先端の研究に刺激を受ける,JkxpmiY,,新設
リサーチマインド,探究心,研究者としての生き方に触れる,Jkxpmic,A-08-01-na-01,
既知の知,医学と医療,これまでの医学研究の蓄積によって現在の医療が成り立っていることを体感する,Jkxpmig,,新設
既知の知,医学と医療,基礎医学・臨床医学・社会医学のそれぞれの特徴を理解できる,Jkxpmik,,新設
既知の知,論文読解,医学論文を読んである程度内容を理解できる,Jkxpmio,,新設
既知の知,論文読解,英語の論文を読むことに抵抗がなくなる,Jkxpmiw,,新設
既知の知,論文読解,批判的吟味を試みる,Jkxpmi0,B-01-03-na-05,
既知の知,情報検索,学術情報の中から適切に論文を検索できる,Jkxpmi4,A-08-01-na-03、B-01-03-na-04,
研究の実施,問い,自身の関心を問いにすることができる,Jkxpmi8,A-08-01-na-04,
研究の実施,研究計画,研究計画の素案を作ることができる,JkxpmjA,B-01-03-na-03,
研究の実施,研究手法,基礎医学の実習（解剖学、生化学、生理学、薬理学、病理学、微生物学、免疫学等）ならびに社会医学のフィールドワークを体験する。,JkxpmjE,A-08-01-na-02,
研究の実施,研究手法,医学研究の基本的な研究手法（実験手技など）を体験する,JkxpmjI,A-08-01-na-02,
研究の実施,研究結果,研究データを適切に管理することができる,JkxpmjM,,新設
研究の発信,研究発表,自身の行った研究内容を論文や報告書・学会発表などの形にまとめる,JkxpmjQ,A-02-02-na-03,
研究の発信,研究発表,発表の場に応じて読者・聴衆にわかりやすく研究内容を説明できる,JkxpmjU,,新設
研究の発信,研究発表,他の研究者の発表に対して質問や意見を述べることができる,JkxpmjY,B-01-03-na-05,
研究倫理,適切な研究遂行,捏造、改ざん、盗用などを含め研究不正の類型を説明することが出来、研究不正を行わない,Jkxpmjc,B-03-01-na-01,
研究倫理,対象者の保護,人を対象とした研究に関するルールの概要を説明できる,Jkxpmjg,"A-08-01-na-01, B-03-01-na-01,B-03-01-na-03,B-03-01-na-03, A-08-01-na-01",
研究倫理,対象者の保護,利益相反や動物実験、遺伝子組み換え実験に関するルールの概要を説明できる,Jkxpmjk,B-03-01-na-01,
